3cpio	0.14.0-1ubuntu1	amd64	optional
adduser	3.153ubuntu1	all	important
amd64-microcode	3.20251202.1ubuntu2	amd64	standard
apparmor	5.0.2-0ubuntu1~26.04.1	amd64	optional
apport	2.34.1-0ubuntu0.1	all	optional
apport-core-dump-handler	2.34.1-0ubuntu0.1	all	optional
apport-symptoms	0.25build1	all	optional
appstream	1.1.2-1	amd64	optional
apt	3.2.0	amd64	important
base-files	14ubuntu6.2	amd64	required
base-passwd	3.6.8	amd64	required
bash	5.3-2ubuntu1	amd64	required
bash-completion	1:2.16.0-8build1	all	standard
bcache-tools	1.0.8-5ubuntu1	amd64	optional
binutils	2.46-3ubuntu2	amd64	optional
binutils-common	2.46-3ubuntu2	amd64	optional
binutils-x86-64-linux-gnu	2.46-3ubuntu2	amd64	optional
bpfcc-tools	0.35.0+ds-1ubuntu2	all	optional
bpftool	7.7.0+7.0.0-34.34	amd64	optional
bpftrace	0.25.0-1ubuntu1	amd64	optional
bsdextrautils	2.41.3-3ubuntu2.2	amd64	optional
bsdutils	1:2.41.3-3ubuntu2.2	amd64	standard
btrfs-progs	6.17.1-1build1	amd64	optional
busybox-initramfs	1:1.37.0-7ubuntu1	amd64	optional
busybox-static	1:1.37.0-7ubuntu1	amd64	optional
ca-certificates	20260601~26.04.1	all	standard
chrony	4.8-2ubuntu1	amd64	optional
cloud-guest-utils	0.33-1build1	all	optional
cloud-init	26.1-0ubuntu3~26.04.1	all	optional
cloud-init-base	26.1-0ubuntu3~26.04.1	all	optional
console-setup	1.237ubuntu3.1	all	optional
console-setup-linux	1.237ubuntu3.1	all	optional
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25	all	required
coreutils-from-uutils	0.0.0~ubuntu25	all	required
crash	9.0.1+~16.3-1ubuntu1	amd64	optional
cryptsetup	2:2.8.4-1ubuntu4	amd64	optional
cryptsetup-bin	2:2.8.4-1ubuntu4	amd64	optional
curl	8.18.0-1ubuntu2.7	amd64	optional
dash	0.5.12-12ubuntu3	amd64	required
dbus	1.16.2-2ubuntu4	amd64	standard
dbus-bin	1.16.2-2ubuntu4	amd64	optional
dbus-daemon	1.16.2-2ubuntu4	amd64	optional
dbus-session-bus-common	1.16.2-2ubuntu4	all	optional
dbus-system-bus-common	1.16.2-2ubuntu4	all	optional
dbus-user-session	1.16.2-2ubuntu4	amd64	optional
debconf	1.5.92	all	required
debianutils	5.23.2build1	amd64	required
dhcpcd-base	1:10.3.0-7	amd64	important
diffutils	1:3.12-1ubuntu0.1	amd64	required
dirmngr	2.4.8-4ubuntu3.1	amd64	optional
distro-info-data	0.72-0ubuntu0.26.04.1	all	optional
dmeventd	2:1.02.205-2ubuntu3	amd64	optional
dmsetup	2:1.02.205-2ubuntu3	amd64	optional
dpkg	1.23.7ubuntu1	amd64	required
dracut	110-11ubuntu0.1	all	optional
dracut-core	110-11ubuntu0.1	amd64	optional
dracut-install	110-11ubuntu0.1	amd64	optional
e2fsprogs	1.47.2-3ubuntu4	amd64	required
eatmydata	131-2build1	all	optional
ethtool	1:6.19-1	amd64	optional
fdisk	2.41.3-3ubuntu2.2	amd64	important
file	1:5.46-5build2	amd64	standard
finalrd	9build2	all	optional
findutils	4.10.0-3build2	amd64	required
firmware-sof-signed	2025.12.2-1	all	optional
fuse3	3.18.2-1	amd64	optional
gawk	1:5.3.2-1ubuntu1.1	amd64	optional
gcc-16-base	16-20260322-1ubuntu1	amd64	required
gdisk	1.0.10-2build1	amd64	optional
gettext-base	0.23.2-1	amd64	standard
gir1.2-girepository-3.0	2.88.0-1ubuntu0.1	amd64	optional
gir1.2-glib-2.0	2.88.0-1ubuntu0.1	amd64	optional
gir1.2-packagekitglib-1.0	1.3.4-3ubuntu1.2	amd64	optional
gnu-coreutils	9.7-3ubuntu2.1	amd64	required
gnupg	2.4.8-4ubuntu3.1	all	optional
gnupg-l10n	2.4.8-4ubuntu3.1	all	optional
gnupg-utils	2.4.8-4ubuntu3.1	amd64	optional
gpg	2.4.8-4ubuntu3.1	amd64	optional
gpg-agent	2.4.8-4ubuntu3.1	amd64	optional
gpg-wks-client	2.4.8-4ubuntu3.1	amd64	optional
gpgconf	2.4.8-4ubuntu3.1	amd64	optional
gpgsm	2.4.8-4ubuntu3.1	amd64	optional
gpgv	2.4.8-4ubuntu3.1	amd64	important
grep	3.12-1	amd64	required
groff-base	1.23.0-10	amd64	important
grub-gfxpayload-lists	0.7build3	amd64	optional
grub-pc	2.14-2ubuntu2.1	amd64	optional
